
Palabra: 1023.45	E(Clases),1023.45)= 1.5441104177484004	GI(1023.45)= 0.010474751589399034

Palabra: 12	E(Clases),12)= 0.5747164126866466	GI(12)= 0.9798687566511528

Palabra: 12345678	E(Clases),12345678)= 1.5441104177484004	GI(12345678)= 0.010474751589399034

Palabra: 3.15	E(Clases),3.15)= 0.8250112108241773	GI(3.15)= 0.7295739585136222

Palabra: aa	E(Clases),aa)= 1.3112781244591327	GI(aa)= 0.24330704487866672

Palabra: bb	E(Clases),bb)= 1.1362893352833099	GI(bb)= 0.41829583405448956

Palabra: cc	E(Clases),cc)= 1.5220552088742003	GI(cc)= 0.03252996046359913

Palabra: dd	E(Clases),dd)= 0.9067153767696876	GI(dd)= 0.6478697925681118

Palabra: reuter	E(Clases),reuter)= 1.554585169337792	GI(reuter)= 7.549516567451064e-15
